Datetime,Open,High,Low,Close,Volume
2025-11-17,25948.2,26024.2,25906.35,26013.45,264610565.0
2025-11-18,26021.8,26029.85,25876.5,25910.05,280000989.0
2025-11-19,25918.1,26074.65,25856.2,26052.65,250110008.0
2025-11-20,26132.1,26246.65,26063.2,26192.15,240425729.0
2025-11-21,26109.55,26179.2,26052.2,26068.15,235581427.0
2025-11-24,26122.8,26142.8,25912.15,25959.5,464655063.0
2025-11-25,25998.5,26032.6,25857.5,25884.8,260454909.0
2025-11-26,25842.95,26215.15,25842.95,26205.3,275265169.0
2025-11-27,26261.25,26310.45,26141.9,26215.55,240287057.0
2025-11-28,26237.45,26280.75,26172.4,26202.95,202511545.0
2025-12-01,26325.8,26325.8,26124.2,26175.75,213828573.0
2025-12-02,26087.95,26154.6,25997.85,26032.2,254803113.0
2025-12-03,26004.9,26066.45,25891.0,25986.0,265660108.0
2025-12-04,25981.85,26098.25,25938.95,26033.75,248099545.0
2025-12-05,25999.8,26202.6,25985.35,26186.45,249254405.0
2025-12-08,26159.8,26178.7,25892.25,25960.55,320729920.0
2025-12-09,25867.1,25923.65,25728.0,25839.65,275978160.0
2025-12-10,25864.05,25947.65,25734.55,25758.0,207944446.0
2025-12-11,25771.4,25922.8,25693.25,25898.55,206099631.0
2025-12-12,25971.2,26057.6,25938.45,26046.95,216344338.0
2025-12-15,25930.05,26047.15,25904.75,26027.3,181557703.0
2025-12-16,25951.5,25980.75,25834.35,25860.1,264351195.0
2025-12-17,25902.4,25929.15,25770.35,25818.55,206521258.0
2025-12-18,25764.7,25902.35,25726.3,25815.55,197553755.0
2025-12-19,25911.5,25993.35,25880.45,25966.4,382927284.0
2025-12-22,26055.85,26180.7,26047.8,26172.4,252990050.0
2025-12-23,26205.2,26233.55,26119.05,26177.15,216553840.0
2025-12-24,26170.65,26236.4,26123.0,26142.1,188846828.0
2025-12-26,26121.25,26144.2,26008.6,26042.3,142243763.0
2025-12-29,26063.35,26106.8,25920.3,25942.1,234312888.0
2025-12-30,25940.9,25976.75,25878.0,25938.85,396893959.0
2025-12-31,25971.05,26187.95,25969.0,26129.6,246314941.0
2026-01-01,26173.3,26197.55,26113.4,26146.55,425631910.0
2026-01-02,26155.1,26340.0,26118.4,26328.55,357547806.0
2026-01-05,26333.7,26373.2,26210.05,26250.3,338777649.0
2026-01-06,26189.7,26273.95,26124.75,26178.7,383040203.0
2026-01-07,26143.1,26187.15,26067.9,26140.75,338216740.0
2026-01-08,26106.5,26133.2,25858.45,25876.85,328520950.0
2026-01-09,25840.4,25940.6,25623.0,25683.3,348757262.0
2026-01-12,25669.05,25813.15,25473.4,25790.25,275757268.0
2026-01-13,25897.35,25899.8,25603.3,25732.3,339536336.0
2026-01-14,25648.55,25791.75,25603.95,25665.6,393126596.0
2026-01-16,25696.05,25873.5,25662.4,25694.35,434041776.0
2026-01-19,25653.1,25653.3,25494.35,25585.5,443087953.0
2026-01-20,25580.3,25585.0,25171.35,25232.5,409772324.0
2026-01-21,25141.0,25300.95,24919.8,25157.5,395624981.0
2026-01-22,25344.15,25435.75,25168.5,25289.9,486395433.0
2026-01-23,25344.6,25347.95,25025.3,25048.65,393944908.0
2026-01-27,25063.35,25246.65,24932.55,25175.4,618696080.0
2026-01-28,25258.85,25372.1,25187.65,25342.75,574903942.0
2026-01-29,25345.0,25458.15,25159.8,25418.9,582389331.0
2026-01-30,25247.55,25370.7,25213.65,25320.65,508388604.0
2026-02-02,24796.5,25108.1,24679.4,25088.4,449215604.0
2026-02-03,26308.05,26341.2,25641.3,25727.55,637263148.0
2026-02-04,25675.05,25818.55,25563.95,25776.0,429788986.0
2026-02-05,25755.9,25757.65,25579.5,25642.8,343812628.0
2026-02-06,25605.8,25703.95,25491.9,25693.7,375476124.0
2026-02-09,25888.7,25922.25,25780.9,25867.3,359386006.0
2026-02-10,25922.65,25989.45,25870.45,25935.15,460878237.0
2026-02-11,25997.45,26009.4,25899.8,25953.85,331389240.0
2026-02-12,25906.7,25906.7,25752.4,25807.2,419388014.0
2026-02-13,25571.15,25630.35,25444.3,25471.1,453523192.0
2026-02-16,25423.6,25697.0,25372.7,25682.75,275771857.0
2026-02-17,25637.95,25764.4,25570.3,25725.4,344120117.0
2026-02-18,25752.65,25828.05,25645.15,25819.35,400807585.0
2026-02-19,25873.35,25885.3,25388.75,25454.35,333658812.0
2026-02-20,25406.55,25663.55,25379.75,25571.25,309373691.0
2026-02-23,25678.4,25771.45,25609.35,25713.0,399135843.0
2026-02-24,25641.8,25641.8,25327.6,25424.65,439068188.0
2026-02-25,25512.6,25652.6,25428.2,25482.5,414215742.0
2026-02-26,25556.3,25572.95,25400.95,25496.55,405219244.0
2026-02-27,25459.85,25476.4,25141.3,25178.65,438924282.0
2026-03-02,24659.25,24989.35,24603.5,24865.7,519228821.0
2026-03-04,24388.8,24602.45,24305.4,24480.5,598993881.0
2026-03-05,24615.95,24854.2,24529.4,24765.9,504339053.0
2026-03-06,24656.4,24700.8,24415.75,24450.45,433408256.0
2026-03-09,23868.05,24078.15,23697.8,24028.05,526901605.0
2026-03-10,24280.8,24303.8,24079.95,24261.6,444283436.0
2026-03-11,24231.85,24299.0,23834.3,23866.85,407400643.0
2026-03-12,23674.85,23833.15,23556.3,23639.15,501004098.0
2026-03-13,23462.5,23492.4,23112.0,23151.1,519776752.0
2026-03-16,23116.1,23502.0,22955.25,23408.8,540293230.0
2026-03-17,23493.2,23656.8,23346.6,23581.15,458788167.0
2026-03-18,23632.9,23862.25,23618.45,23777.8,382876401.0
2026-03-19,23197.75,23378.7,22930.35,23002.15,550147401.0
2026-03-20,23110.15,23345.15,23067.6,23114.5,663289390.0
2026-03-23,22824.35,22851.7,22471.25,22512.65,550275334.0
2026-03-24,22878.45,23057.3,22624.2,22912.4,538098322.0
2026-03-25,23064.4,23465.35,23063.2,23306.45,505418973.0
2026-03-27,23173.55,23186.1,22804.55,22819.6,612556883.0
2026-03-30,22549.65,22714.1,22283.85,22331.4,698599891.0
2026-04-01,22899.0,22941.3,22618.6,22679.4,517954448.0
2026-04-02,22383.4,22782.3,22182.55,22713.1,495121035.0
2026-04-06,22780.3,22998.35,22542.95,22968.25,426416812.0
2026-04-07,22838.7,23153.85,22719.3,23123.65,476981883.0
2026-04-08,23855.15,24025.15,23828.5,23997.35,639257993.0
2026-04-09,23909.05,23990.75,23682.8,23775.1,466587329.0
2026-04-10,23880.55,24074.05,23856.35,24050.6,481302436.0
2026-04-13,23589.6,23907.4,23555.6,23842.65,488844789.0
2026-04-15,24163.8,24280.9,24145.8,24231.3,460334041.0
2026-04-16,24385.2,24400.95,24102.8,24196.75,508017772.0
2026-04-17,24165.9,24371.9,24096.05,24353.55,498625189.0
2026-04-20,24391.5,24480.65,24241.25,24364.85,415942883.0
2026-04-21,24374.55,24601.7,24354.9,24576.6,425826834.0
2026-04-22,24470.85,24515.95,24352.9,24378.1,440524292.0
2026-04-23,24202.35,24310.2,24134.8,24173.05,467549860.0
2026-04-24,24100.55,24206.0,23813.65,23897.95,438433486.0
2026-04-27,23945.45,24130.7,23936.2,24092.7,430297937.0
2026-04-28,24049.9,24181.8,23957.05,23995.7,554134344.0
2026-04-29,24096.9,24334.7,24059.95,24177.65,531122966.0
2026-04-30,23996.95,24087.45,23796.85,23997.55,505520648.0
2026-05-04,24063.55,24290.2,24004.75,24119.3,419069793.0
2026-05-05,24052.6,24081.7,23882.05,24032.8,363297728.0
2026-05-06,24171.0,24356.5,23997.9,24330.95,429190144.0
2026-05-07,24398.5,24482.1,24284.0,24326.65,440621691.0
2026-05-08,24233.65,24253.8,24126.65,24176.15,335887188.0
2026-05-11,23970.1,23997.45,23799.1,23815.85,390108343.0
2026-05-12,23722.6,23757.55,23348.4,23379.55,447518189.0
2026-05-13,23362.45,23582.95,23262.55,23412.6,415359044.0
2026-05-14,23530.25,23777.2,23426.55,23689.6,428735424.0
2026-05-15,23731.4,23839.3,23610.3,23643.5,408864566.0
2026-05-18,23482.2,23695.65,23317.1,23649.95,391968426.0
2026-05-19,23675.3,23782.3,23587.2,23618.0,441953184.0
2026-05-20,23457.25,23690.9,23397.3,23659.0,344050591.0
2026-05-21,23830.05,23859.9,23596.6,23654.7,348183907.0
2026-05-22,23671.2,23835.65,23671.0,23719.3,336108649.0
2026-05-25,23940.25,24054.45,23922.85,24031.7,351224048.0
2026-05-26,24004.1,24089.8,23885.45,23913.7,387932940.0
2026-05-27,23880.35,23983.2,23858.25,23907.15,531572650.0
2026-05-29,23902.15,24002.8,23484.75,23547.75,1198023438.0
2026-06-01,23654.5,23733.7,23357.95,23382.6,421691204.0
2026-06-02,23229.15,23556.95,23229.15,23483.55,511852817.0
2026-06-03,23415.95,23459.65,23151.5,23405.6,450089851.0
2026-06-04,23282.45,23465.3,23247.3,23416.55,412505524.0
2026-06-05,23478.95,23516.35,23282.65,23366.7,366208223.0
2026-06-08,23080.7,23267.3,23070.15,23123.0,375730763.0
2026-06-09,23259.05,23279.4,23104.45,23242.1,402552937.0
2026-06-10,23233.95,23425.35,23184.6,23214.95,380030627.0
2026-06-11,23104.4,23327.45,23072.05,23161.6,362996956.0
2026-06-12,23412.55,23645.35,23313.9,23622.9,351944432.0
2026-06-15,23984.85,24011.4,23817.8,23853.9,398913735.0
2026-06-16,23923.9,24002.6,23888.2,23989.15,327307262.0
2026-06-17,24044.5,24108.2,23969.7,24085.7,352665809.0
2026-06-18,24073.8,24189.25,24036.95,24168.0,339988612.0
2026-06-19,23991.2,24047.2,23901.9,24013.1,447858148.0
2026-06-22,24106.6,24168.05,24073.15,24102.9,252821156.0
2026-06-23,24071.3,24135.5,23784.95,23824.1,340090069.0
2026-06-24,23795.8,24090.05,23789.25,24021.65,395578738.0
2026-06-25,24125.85,24261.6,24039.0,24056.0,448752143.0
2026-06-29,24061.75,24120.0,23924.55,23946.25,588498045.0
2026-06-30,24032.05,24035.55,23829.2,23865.75,449044753.0
2026-07-01,23897.65,24049.9,23895.1,24005.85,352148975.0
2026-07-02,24062.2,24194.55,24058.8,24175.7,372941283.0
2026-07-03,24375.65,24378.15,24252.35,24270.85,326634751.0
2026-07-06,24306.85,24458.65,24287.1,24430.35,329356507.0
2026-07-07,24464.45,24530.9,24348.95,24398.7,412624457.0
2026-07-08,24259.55,24300.0,23805.2,23882.05,420531527.0
2026-07-09,23928.95,24134.7,23925.7,23962.8,384795241.0
2026-07-10,24124.7,24228.45,24120.35,24206.9,313072212.0
2026-07-13,24039.4,24259.8,24000.2,24211.0,322678968.0
2026-07-14,24068.0,24157.1,24023.7,24052.05,0.0
2026-07-15,24085.85,24220.35,24010.55,24073.45,304245499.0
2026-07-16,24142.1,24186.5,24050.0,24072.75,264271962.0
2026-07-17,24127.6,24367.3,24099.05,24334.3,387772135.0
2026-07-20,24190.05,24266.1,24135.85,24238.5,353095939.0
2026-07-21,24216.05,24262.2,24135.65,24187.7,315560285.0
2026-07-22,24150.45,24166.3,23961.4,23996.25,0.0
2026-07-23,23904.8,23990.75,23807.2,23869.6,344042832.0
2026-07-24,23666.35,23823.6,23606.3,23767.45,333870912.0
2026-07-27,23928.4,24011.6,23891.55,23995.95,319367545.0
2026-07-28,23971.25,24041.15,23954.6,23985.35,0.0
2026-07-29,24176.65,24283.55,24136.75,24250.2,0.0
2026-07-30,24249.55,24342.95,24187.1,24296.6,397438189.0
2026-07-31,24361.45,24429.4,24299.7,24383.6,411693361.0
2026-08-03,24572.7,24774.3,24515.15,24774.3,342283085.0
2026-08-04,24703.9,24703.9,24427.95,24614.9,296554546.0
2026-08-05,24669.2,24677.6,24497.95,24624.65,0.0
2026-08-06,24641.0,24677.05,24604.15,24636.0,344001180.0
2026-08-07,24538.9,24630.4,24522.75,24570.65,490796264.0
2026-08-10,24581.25,24620.95,24511.1,24583.8,269507262.0
2026-08-11,24575.1,24576.85,24429.25,24471.7,0.0
2026-08-12,24472.45,24473.3,24265.95,24435.95,317552958.0
2026-08-13,24431.6,24431.6,24311.4,24395.85,295823169.0
2026-08-14,24361.9,24405.2,24296.8,24366.0,267706410.0
2026-08-17,24343.45,24360.1,24226.95,24287.65,225427674.0
2026-08-18,24223.85,24269.65,24154.9,24154.9,0.0
2026-08-19,24152.05,24172.85,24025.65,24078.3,238718813.0
2026-08-20,24225.45,24265.15,24184.55,24231.85,0
2026-08-21,24284.05,24284.05,24206.8,24252.0,0
2026-08-24,24285.05,24313.0,24144.3,24219.05,0
2026-08-25,24175.75,24334.55,24115.45,24334.55,0
